id;name;details;notes;attachment_type;file;file_content_type;file_url;reference_type;reference_id;created_by;created_date;last_modified_by;last_modified_date
1;shyly;careful whose;phooey forecast;ID;../fake-data/blob/hipster.png;image/png;bodge aw ack;TRANSACTION;3837;however miserably sane;2023-12-03T18:19:21;hang;2023-12-03T14:33:44
2;worth curly;probe hang;towards window;COMMERCIAL_LICENCE;../fake-data/blob/hipster.png;image/png;honorable monthly;MERCHANT;21447;without stage inasmuch;2023-12-03T22:40:51;spotted disposer;2023-12-04T06:35:21
3;upon making;apud lone;clothe;COMMERCIAL_LICENCE;../fake-data/blob/hipster.png;image/png;brr supposing flat;CONSUMER;625;tingling;2023-12-03T23:29:11;album honest cleverly;2023-12-04T05:32:36
4;gadzooks;into opposite;gallon;FACE_WITH_ID;../fake-data/blob/hipster.png;image/png;after;CONSUMER;27123;immediate;2023-12-04T01:48:01;annex amid calm;2023-12-03T12:36:51
5;rebuff cutting;natter which per;patriarch tack;PASSPORT;../fake-data/blob/hipster.png;image/png;dreary;CONSUMER;2222;worst belly;2023-12-04T02:10:00;evenly blah;2023-12-03T10:42:10
6;onto weakly prescribe;surface great shakedown;angora cappuccino um;COMMERCIAL_LICENCE;../fake-data/blob/hipster.png;image/png;plaintive;TRANSACTION;22116;whose value;2023-12-03T23:37:21;only attentive athwart;2023-12-03T18:40:07
7;nautical blissful instantly;indeed;aha;ID;../fake-data/blob/hipster.png;image/png;ick;TRANSACTION;27578;hanker marmalade;2023-12-04T05:13:56;convalesce;2023-12-03T17:19:24
8;ouch oh sword;preclude;malign mid snoopy;ID;../fake-data/blob/hipster.png;image/png;information an although;MERCHANT;3804;regularly separate yet;2023-12-03T14:11:27;raw;2023-12-03T16:11:56
9;hm;highly whoever;eulogize knottily;DRIVING_LICENCE;../fake-data/blob/hipster.png;image/png;miserably hm;MERCHANT;500;aside;2023-12-03T12:14:52;in beside if;2023-12-03T10:19:56
10;through;concrete furthermore;since coaxingly huzzah;FACE;../fake-data/blob/hipster.png;image/png;highly studious clueless;CONSUMER;9018;gee;2023-12-03T21:14:58;term after;2023-12-03T23:11:20
