id;name_ar;nam_en;swift_code;created_by;created_date;last_modified_by;last_modified_date
1;knavishly rostrum oh;pasteurise;shoddy inferior;grouse;2023-12-03T18:50:12;following except damaged;2023-12-03T11:07:27
2;ack pass;inwardly constraint;hm voluntarily so;now inasmuch quicker;2023-12-03T11:14:55;blissfully however;2023-12-04T03:40:58
3;vice;query meanwhile;overwrite;interest destination leash;2023-12-03T19:30:16;whoa amputate barricade;2023-12-03T11:57:34
4;friendly hourly;mechanism;boldly;gut reduplicate even;2023-12-03T15:59:42;yuck nicely countermand;2023-12-03T12:44:46
5;ultimately;till at;dimly;seldom;2023-12-03T15:29:42;dim towards;2023-12-03T23:35:27
6;sweetly oof;svelte hence out;ah for;infamous understatement;2023-12-03T23:41:54;violently;2023-12-03T23:53:56
7;times upside-down author;jumbo wagon;below;anxiously apply;2023-12-04T08:23:57;defiantly adored;2023-12-03T20:21:43
8;now however;molt defiantly sample;when;gladly unabashedly until;2023-12-03T16:05:08;space which;2023-12-04T02:41:04
9;boohoo gadzooks plus;of;issue deter;following blah quizzically;2023-12-03T15:55:22;now;2023-12-03T19:36:47
10;kindly;aw;among wind absolute;really heckle;2023-12-03T11:05:51;astonishing modulo;2023-12-03T14:29:58
