id;name_ar;nam_en;address;created_by;created_date;last_modified_by;last_modified_date
1;trigger velodrome feline;until brr;coolly aw;around behind;2023-12-03T13:03:33;barbecue;2023-12-04T07:27:02
2;during;oof nor;obnoxiously;twins;2023-12-03T13:18:14;toward um tiny;2023-12-03T23:38:03
3;weighty gah intently;what once;pill afore willfully;ick oh;2023-12-03T10:37:16;worst;2023-12-03T18:41:44
4;kindheartedly by;sinuosity;embellished upstage;unruly;2023-12-04T07:36:54;stranger woot;2023-12-04T03:31:48
5;regarding premeditation;capitalize;meanwhile;rick blue;2023-12-04T03:53:28;than;2023-12-04T03:15:25
6;for what;sweetly;double wig;difficult;2023-12-04T10:00:57;now;2023-12-04T04:28:32
7;woot;beneath quirkily mouse;sedately between apud;gaseous for gram;2023-12-04T06:07:16;colonialism backlight soulful;2023-12-03T10:52:21
8;incidentally tall happily;since;of;behind gee;2023-12-03T21:00:29;fatherly and;2023-12-04T01:57:54
9;wrongly complex;even jagged to;harmonious;now;2023-12-03T18:10:27;aha;2023-12-03T13:58:55
10;who arrogantly relish;ha pish strident;sweetly calibrate;once charset;2023-12-03T12:56:53;gadzooks bare;2023-12-03T17:44:58
