id;name_ar;name_en;code;created_by;created_date;last_modified_by;last_modified_date
1;or;minus oh the;devoted modeling;if so to;2023-11-30T20:42:09;hence;2023-12-01T14:24:43
2;mountainous that beyond;now while playfully;yearningly mid now;yet;2023-12-01T11:26:44;for reproduce;2023-12-01T12:34:57
3;bony unfortunately;rich;triumphantly vain;hmph;2023-12-01T03:59:05;during;2023-12-01T13:38:12
4;to and;phooey;sandbar however official;lag;2023-12-01T15:37:41;almost;2023-12-01T09:16:50
5;jealously;meh finally ah;apprehend project corrupt;scene large;2023-12-01T03:07:52;meow drat;2023-12-01T15:20:29
6;identity;solemnly sans hm;trigonometry enlightened legalize;furthermore;2023-12-01T05:00:20;trivialize;2023-12-01T17:59:20
7;rend grown;blah;meh boo adolescent;ick phooey ouch;2023-12-01T11:22:23;which against attainment;2023-12-01T03:57:35
8;ugh anenst handrail;considering even;phew;poisoning;2023-11-30T22:18:34;prospect along;2023-11-30T22:32:13
9;collectivise interpolate outside;incidentally;agitated athwart whoa;yearningly impish;2023-11-30T22:55:13;after blah;2023-11-30T20:43:33
10;yum matrix;ha round;past;injustice remarkable chaise;2023-11-30T21:02:38;almost school;2023-12-01T17:07:31
