id;name_ar;name_en;created_by;created_date;last_modified_by;last_modified_date
1;peter;underwriting;wonderful footstool;2023-12-03T14:43:00;cupboard intelligent;2023-12-04T00:37:33
2;hmph angrily;ha where since;naturally;2023-12-04T01:17:07;carefree huzzah;2023-12-03T23:46:58
3;although;initiative;which hm correlate;2023-12-04T04:45:50;charming and;2023-12-03T10:53:00
4;lest nimble impolite;squiggly;gadzooks;2023-12-03T19:01:21;jubilant;2023-12-04T01:11:10
5;yet ah;since once not;grave;2023-12-03T14:32:46;whoa;2023-12-04T06:32:17
6;fixed;fooey;cradle baby;2023-12-03T22:14:54;password;2023-12-03T15:16:02
7;bashfully;only while excepting;after evenly raze;2023-12-04T05:50:56;indeed provided;2023-12-04T03:47:45
8;twiddle over;cheerfully beset velvety;eviscerate bifurcate;2023-12-04T02:56:18;astronomy amidst;2023-12-03T12:57:18
9;to yum misfit;putrid sway;clergyman why;2023-12-04T00:05:10;impractical mmm;2023-12-04T01:39:12
10;quietly measure;hairy;lest stagnate uh-huh;2023-12-03T13:49:33;neat whack spud;2023-12-04T00:35:43
