id;name;name_ar;name_en;menu_order;image_file_url;image_file;image_file_content_type;details;fee_percentage;payment_type;notes
1;illiterate demilitarise mid;unethically contaminate beneath;fooey;3644;humble;../fake-data/blob/hipster.png;image/png;entangle caramel;5135.15;WALLET;ripe plus overcooked
2;spiffy likely;brightly overstate past;rudely some;4619;profitable abaft;../fake-data/blob/hipster.png;image/png;youthfully violet;25184.68;SADAD;gee mutt considering
3;boohoo yesterday inside;squirrel duh;frankly;11262;of fortunately;../fake-data/blob/hipster.png;image/png;beneath quicker;23272.39;MOBICASH;limply card unless
4;wig yippee;ew loosen astride;mix minus strictly;18516;till boo;../fake-data/blob/hipster.png;image/png;profuse solemnly;24527.54;TADAWUL;hunger
5;velvety yearly skyscraper;gargantuan well-documented pro;yet;23153;instead;../fake-data/blob/hipster.png;image/png;twilight behold italicize;15407.05;MOBICASH;upside-down
6;reasonable blah;tall;supposing doughnut;16119;thoughtfully;../fake-data/blob/hipster.png;image/png;whoever mile;4325.99;TADAWUL;oof
7;fast ugh;even;blowgun oof;17978;grass unless;../fake-data/blob/hipster.png;image/png;considering scenery whether;5968.18;MOAMALAT;local
8;collude insidious;whether;cripple;14989;thanks phew than;../fake-data/blob/hipster.png;image/png;likewise ambitious afore;30960.4;SADAD;than
9;unnecessarily pace;before quizzical;might;15234;aha to meaningfully;../fake-data/blob/hipster.png;image/png;ashamed;7425.94;MOAMALAT;spring merit ail
10;stutter;over uh-huh gown;however energetically;2802;mutt;../fake-data/blob/hipster.png;image/png;merrily ack;6658.08;WALLET;reproachfully
