id;jhi_key;value;created_by;created_date;last_modified_by;last_modified_date
1;pfft;why;awkwardly gladly inspector;2023-12-04T08:26:11;ajar ouch why;2023-12-03T22:23:27
2;loft ugh;herd;across past;2023-12-03T17:09:38;rank;2023-12-04T05:52:19
3;meh impersonate several;revel ouch;before;2023-12-03T20:58:09;keen punctuation lest;2023-12-03T13:20:48
4;and frayed;repository hurt beside;mmm worriedly fossick;2023-12-04T08:52:23;lasting until lag;2023-12-03T12:12:36
5;personal aha regarding;scream diamond pfft;about definite disincentivize;2023-12-04T03:01:43;stravaig more;2023-12-03T11:01:48
6;ordinary welcome amongst;ream delicious burly;describe dishonour;2023-12-03T23:47:09;sugary sheepishly;2023-12-04T02:42:42
7;gravy yuck;eventually behind cabbage;ouch straight gopher;2023-12-04T03:22:20;splice worldly separate;2023-12-03T12:34:23
8;which;groan;ape old-fashioned;2023-12-03T16:39:40;contest reproachfully;2023-12-03T19:44:06
9;repel jostle um;aha after finally;yahoo stupendous reassuringly;2023-12-04T01:17:07;though author;2023-12-04T05:40:32
10;categorise play;silently through;muted powerfully hype;2023-12-03T21:31:18;abaft jump;2023-12-04T03:27:18
