id;details;menu_order;image_file_url;image_file;image_file_content_type;url;created_by;created_date;last_modified_by;last_modified_date
1;coast aha;18453;never equation;../fake-data/blob/hipster.png;image/png;https://huge-gem.com;whisker bashfully soothe;2023-12-01T05:20:42;speedily yearly ouch;2023-12-01T12:20:07
2;successfully;25708;because sheepishly overuse;../fake-data/blob/hipster.png;image/png;https://unnatural-summit.biz;melodic;2023-12-01T00:46:16;pumpkin live;2023-12-01T02:53:44
3;whoever wherever;26977;boohoo metaphor coaxingly;../fake-data/blob/hipster.png;image/png;https://descriptive-exchange.org/;lawmaker who hurtful;2023-12-01T00:20:24;phooey;2023-12-01T00:14:06
4;aboard within;8450;kennel pish how;../fake-data/blob/hipster.png;image/png;https://wordy-skiing.biz/;ultimate phew;2023-12-01T05:53:22;silently under actual;2023-12-01T10:04:43
5;transliterate;29502;patriot;../fake-data/blob/hipster.png;image/png;https://tedious-protest.com;celebrity;2023-12-01T11:35:30;yesterday psst;2023-12-01T07:12:06
6;envisage furthermore;1415;uh-huh;../fake-data/blob/hipster.png;image/png;https://haunting-grandmom.name/;pfft warm;2023-12-01T08:06:38;before slowly fooey;2023-12-01T00:03:24
7;interestingly flag;13398;contention;../fake-data/blob/hipster.png;image/png;https://nutty-clan.org/;circa;2023-12-01T10:44:45;handmaiden bashfully implement;2023-11-30T22:25:46
8;skip or plan;22839;arrow mind;../fake-data/blob/hipster.png;image/png;https://tight-mariachi.org;as likely;2023-12-01T06:52:30;instructive ack;2023-12-01T05:46:48
9;joshingly yawning memorable;16339;patience sweetly;../fake-data/blob/hipster.png;image/png;https://glittering-golf.info;midst mysterious with;2023-12-01T06:00:31;amusing;2023-11-30T23:16:54
10;stave unnecessarily;2576;next oh poise;../fake-data/blob/hipster.png;image/png;https://ajar-hunting.org/;glamorize;2023-12-01T12:10:31;regularly scarcely gadzooks;2023-12-01T13:10:20
