id;code;amount;serial_number;is_sold;sell_transaction_id
1;once quietly under;19074.82;memorable fiercely examination;false;4812
2;ouch whereas;13116.86;fully;false;13378
3;naturally;28897.58;and satisfaction ew;false;12355
4;ick which mid;26082.46;lest pish whoa;true;13941
5;scurry potable acceptable;6464.57;when;true;24572
6;stealthily;24333.4;qua reschedule oh;true;18433
7;questionably;17417.54;execution outside;true;15086
8;inasmuch;8339.32;beyond orphan whoever;true;20271
9;wordy rewarding subtle;21711.28;vivaciously another famously;false;15575
10;colorfully lest;8078.68;inside mosey;true;12304
