id;name_ar;name_en;slug;amount;menu_order
1;uh-huh yahoo;yieldingly vitro;uselessly since pfft;14781.33;16878
2;coolly;times till;solidly rudely;8120.63;15052
3;enrapture;scarf;gee fellow whether;26979.44;22557
4;weekly ugh critical;yum;tedious as er;25396.98;10737
5;metallic;target withdraw;lazy telemeter;19308.56;13491
6;given;while nervous inasmuch;because;20515.18;972
7;harmonise;ah;throughout thunderous;12090.52;22022
8;highly;slime till;boohoo;28925.17;1838
9;fooey an;wrangle since er;brushfire;4457.81;24810
10;yearningly;phew undock;cooperative;19081.21;29830
