id;name_ar;name_en;has_transfer_amount_limit_per_transaction;transfer_amount_limit_per_transaction;has_daily_transfer_amount_limit;daily_transfer_amount_limit;can_transfer_to_consumer_wallet;can_transfer_to_merchant_wallet;can_transfer_to_consumer;can_transfer_to_bank;can_buy_vouchers;transfer_to_consumer_wallet_fees;transfer_to_merchant_wallet_fees;transfer_to_consumer_fees;transfer_to_bank_fees;buy_vouchers_fees;created_by;created_date;last_modified_by;last_modified_date
1;fooey modulo drab;uh-huh;false;4574.08;false;16471.59;false;false;false;false;true;false;false;true;false;true;mmm designation ick;2023-12-04T02:02:53;yum;2023-12-04T08:49:21
2;suspicious;midst lest;true;16618.98;true;14861.05;false;true;true;true;false;false;true;true;false;false;handy unbearably;2023-12-04T05:11:34;which ah;2023-12-03T20:00:04
3;itchy;hence whoa gadzooks;true;19067.77;true;19232.35;true;false;false;false;false;false;true;false;true;false;notwithstanding ugh evade;2023-12-03T22:33:06;contend quicksand sudden;2023-12-03T12:38:36
4;draught afterwards;whereas which;false;10882.97;true;29643.59;true;true;true;false;false;false;false;false;true;true;until nuke sorrowful;2023-12-04T03:15:30;jubilant commercial;2023-12-03T16:02:20
5;scarily dimpled;supposing by drat;false;19461.57;true;12989.37;true;true;true;true;false;false;true;true;false;true;oh whoa dimly;2023-12-03T15:51:39;short-term which;2023-12-04T00:02:18
6;generally what;warmth attic;false;21235.98;true;20304;false;false;true;true;true;false;false;false;true;true;between;2023-12-03T15:33:02;eek;2023-12-03T17:03:10
7;vice now jubilantly;pace;true;269.49;true;31147.75;true;false;false;false;false;true;true;false;false;false;aha gracefully insignificant;2023-12-04T00:36:05;nor consequently;2023-12-04T06:02:05
8;besides aboard faucet;past candy species;false;24433.65;false;28105.34;true;true;true;true;false;false;true;true;false;true;darling mainland traumatic;2023-12-03T18:32:59;plus;2023-12-03T12:52:26
9;until whether;where dreamily before;false;22350.62;false;8475.76;true;false;true;false;true;true;false;false;true;false;qua photodiode;2023-12-04T05:04:47;boohoo;2023-12-03T12:57:01
10;majestically lotion knowledgeably;posh;true;1802.09;false;32249.78;false;false;true;true;false;false;true;false;false;true;never viciously;2023-12-04T05:24:09;bandwidth question unabashedly;2023-12-03T16:04:13
